Food,Calories,Protein (g),Fat (g),Carbs (g)
Idli (1 piece),39,1.6,0.2,7.9
Dosa (1 piece),133,2.7,5.2,20
Sambar (1 cup),151,6,3,22
Rasam (1 cup),60,1.2,2,10
Pongal (1 cup),203,4,6,32
Curd Rice (1 cup),180,5,6,25
Lemon Rice (1 cup),190,4,7,30
Masala Dosa (1 piece),300,6,10,42
Vada (1 piece),140,2.1,7.5,16
Upma (1 cup),220,5,8,35
Medu Vada (1 piece),150,4,7,20
Pesarattu (1 piece),120,6,2,18
Puliyodarai (1 cup),210,3,5,40
Kesari Bath (1 cup),240,3,8,35
Bhindi Fry (1 cup),110,2,6,14
Vegetable Pulao (1 cup),200,4,5,30
Butter Naan (1 piece),120,3,4,20
Roti (1 piece),71,3,0.4,15
Paratha (1 piece),140,4,7,18
Poori (1 piece),150,2,8,17
Chole (1 cup),280,13,6,30
Rajma (1 cup),265,15,5,35
Paneer Butter Masala (1 cup),360,14,24,16
Dal Tadka (1 cup),180,9,6,20
Aloo Gobi (1 cup),120,3,5,15
Palak Paneer (1 cup),240,11,16,12
Gulab Jamun (1 piece),150,2,7,25
Jalebi (1 piece),120,1,6,20
Mysore Pak (1 piece),180,2,10,22
Kaju Katli (1 piece),100,2,4,16
Lassi (1 glass),150,5,6,18
Chaas (1 glass),60,3,2,6
Masala Chai (1 cup),50,1,2,8
Tomato (1 medium),22,1,0.2,5
Potato (1 medium),161,4,0.1,37
Onion (1 medium),44,1,0.1,10
Garlic (1 clove),5,0.2,0,1
Ginger (1 inch),2,0,0,0.4
Turmeric Powder (1 tsp),8,0.3,0.1,1.4
Cumin Seeds (1 tsp),8,0.4,0.5,0.9
Mustard Seeds (1 tsp),9,0.5,0.6,0.8
Coriander Leaves (1 tbsp),1,0.1,0,0.2
Green Chili (1 medium),18,0.8,0.2,4
Mango (1 medium),99,1,0.6,25
Banana (1 medium),105,1.3,0.3,27
Papaya (1 cup),55,0.9,0.2,15
Guava (1 medium),68,2.6,1,14
